AgentCode,PeriodStart,PeriodEnd,RetentionRate_adj,SubmissionQuality,LossRatio_adj,RewrittenPolicyRatio,LRadj_BENEFIT_inverted,EarnedPremium,IncurredLoss,CommissionAmount,CommissionWrittenPremium,EligibleForRenewal,Renewals,PoliciesActive,NewCount,RewriteCount,Bound,Quoted,Submitted,RetentionRate_raw,RetentionRate_raw,CommissionRatio_raw,LossRatio_raw,LossRatio_raw,LR_base,RetentionRate_raw,RetentionRate_raw,RetentionRate,RetentionRate_was_clipped_low,RetentionRate_was_clipped_high,LossRatio_raw,LossRatio_raw,LossRatio,LossRatio_was_clipped_low,LossRatio_was_clipped_high,RewrittenPolicyRatio_raw,RewrittenPolicyRatio_raw,RewrittenPolicyRatio_raw,RewrittenPolicyRatio_raw,RewrittenPolicyRatio_was_clipped_low,RewrittenPolicyRatio_was_clipped_high,SubmissionQuality_raw,SubmissionQuality_raw,SubmissionQuality_raw,SubmissionQuality_raw,SubmissionQuality_was_clipped_low,SubmissionQuality_was_clipped_high,EarnedPremium_was_winsor_low,EarnedPremium_was_winsor_high,IncurredLoss_was_winsor_low,IncurredLoss_was_winsor_high,CommissionAmount_was_winsor_low,CommissionAmount_was_winsor_high,CommissionWrittenPremium_was_winsor_low,CommissionWrittenPremium_was_winsor_high,EP_percentile_peer,EP_utility_peer,EP_decile_peer
120000,2025-04-01,2026-03-31,0.9186,0.3256,0.6414,0.0,0.3586,43909.76,15784.33,5617.71,43909.76,14,12,14,2,0,14.0,34.0,43.0,0.8571428571428571,0.8571428571428571,0.12793761569181886,0.3594720171551837,0.3594720171551837,0.46487362602917204,0.8571428571428571,0.8571428571428571,0.8571,0,0,0.3594720171551837,0.3594720171551837,0.3595,0,0,0.0,0.0,0.0,0.0,0,0,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.32558139534883723,0,0,0,0,0,0,0,0,0,0,0.8737541528239202,0.9734405183914585,9
120001,2025-04-01,2026-03-31,0.768,0.2727,0.6308,0.0,0.3692,11460.55,0.0,1259.5,11460.55,6,3,6,3,0,6.0,18.0,22.0,0.5,0.5,0.10989873958928674,0.0,0.0,0.44568718793325934,0.5,0.5,0.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0,0,0,0,0,0,0,0,0,0,0.08970099667774087,0.8511301159195052,1
120002,2025-04-01,2026-03-31,0.672,0.3214,0.6104,0.0,0.3896,14641.7,0.0,1485.85,14010.18,9,3,9,5,0,9.0,21.0,28.0,0.3333333333333333,0.3333333333333333,0.106055025702739,0.0,0.0,0.40992187519707785,0.3333333333333333,0.3333333333333333,0.3333,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0,0,0,0,0,0,0,0,0,0,0.15946843853820597,0.8734351001238673,2
120003,2025-04-01,2026-03-31,0.9431,0.3636,0.5938,,0.4062,16952.06,0.0,1685.21,16952.06,4,4,4,0,0,4.0,9.0,11.0,1.0,1.0,0.09941033715076515,0.0,0.0,0.38734689071287565,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0,0,,,,,0,0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0.22591362126245848,0.8867762071651297,3
120004,2025-04-01,2026-03-31,0.7999,0.34,0.6361,0.0,0.3639,65350.01,29809.4,4996.55,35350.01,17,10,17,6,0,17.0,39.0,50.0,0.5882352941176471,0.5882352941176471,0.14134508024184433,0.45614989194339833,0.45614989194339833,0.45614989194339833,0.5882352941176471,0.5882352941176471,0.5882,0,0,0.45614989194339833,0.45614989194339833,0.4561,0,0,0.0,0.0,0.0,0.0,0,0,0.34,0.34,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0.973421926910299,1.0,10
120005,2025-04-01,2026-03-31,0.8432,0.3333,0.6685,0.0,0.3315,16214.92,4628.52,1980.5,16214.92,6,4,6,2,0,6.0,16.0,18.0,0.6666666666666666,0.6666666666666666,0.12214059643834196,0.2854482168274651,0.2854482168274651,0.506576744538143,0.6666666666666666,0.6666666666666666,0.6667,0,0,0.2854482168274651,0.2854482168274651,0.2854,0,0,0.0,0.0,0.0,0.0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.2026578073089701,0.8827280762191195,3
120006,2025-04-01,2026-03-31,0.6974,0.3714,0.4794,0.0,0.5206,44219.82,1719.5,3479.0,32333.600000000002,13,5,13,6,0,13.0,30.0,35.0,0.38461538461538464,0.38461538461538464,0.10759705074597323,0.03888527813998338,0.03888527813998338,0.25960050170601423,0.38461538461538464,0.38461538461538464,0.3846,0,0,0.03888527813998338,0.03888527813998338,0.0389,0,0,0.0,0.0,0.0,0.0,0,0,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0,0,0,0,0,0,0,0,0,0,0.8770764119601329,0.9740812573850689,9
120007,2025-04-01,2026-03-31,0.6896,0.381,0.5946,0.0,0.4054,16845.28,0.0,2076.31,16845.28,8,3,8,5,0,8.0,17.0,21.0,0.375,0.375,0.1232576721787943,0.0,0.0,0.3883353152374653,0.375,0.375,0.375,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0,0,0,0,0,0,0,0,0,0,0.22259136212624583,0.8862008357025243,3
120008,2025-04-01,2026-03-31,0.8324,0.3182,0.5228,0.0,0.4772,28084.69,0.0,4128.88,27536.8,14,9,14,3,0,14.0,34.0,44.0,0.6428571428571429,0.6428571428571429,0.14994044333401121,0.0,0.0,0.3061146255163212,0.6428571428571429,0.6428571428571429,0.6429,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0,0,0,0,0,0,0,0,0,0,0.584717607973422,0.9327451713360727,6
120009,2025-04-01,2026-03-31,0.9294,0.303,0.5194,0.0,0.4806,28365.34,0.0,3967.1,28365.34,10,9,10,1,0,10.0,29.0,33.0,0.9,0.9,0.1398573047247098,0.0,0.0,0.30450475908145624,0.9,0.9,0.9,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.30303030303030304,0,0,0,0,0,0,0,0,0,0,0.5980066445182725,0.9336505999959054,6
